ccn,hospital_name,city,region,total_discharges,avg_payment_per_discharge,readmission_ratio,patient_satisfaction_star,patient_safety_psi90,mortality_30_pneumonia,has_core_readmissions,is_analytic
330184,Montefiore New Rochelle Hospital,New Rochelle,Downstate suburbs,881,21370.92,1.0318,2,0.94,17.6,True,True
330027,Nassau University Medical Center,East Meadow,Downstate suburbs,1442,21192.18,1.0907,1,1.23,17.5,True,True
330219,Erie County Medical Center,Buffalo,Upstate,1263,21155.3,0.9757,3,2.09,12.9,True,True
330169,Mount Sinai Beth Israel,New York,NYC,3089,21084.65,1.0604,2,0.97,11.3,True,True
330136,Mary Imogene Bassett Hospital,Cooperstown,Upstate,1567,20799.92,0.9498,3,1.27,16.2,True,True
330182,"St Francis Hospital, Roslyn",Roslyn,Downstate suburbs,10053,20414.03,0.9459,4,1.1,11.0,True,True
330198,Mount Sinai South Nassau,Oceanside,Downstate suburbs,5144,19505.28,1.0804,2,0.85,12.9,True,True
330286,Good Samaritan Hospital Medical Center,West Islip,Downstate suburbs,5930,19015.73,0.8888,3,1.43,16.9,True,True
330394,"United Health Services Hospitals, Inc",Binghamton,Upstate,2408,18822.03,0.9843,3,1.58,16.8,True,True
330153,Ellis Hospital,Schenectady,Upstate,1588,18428.37,0.9976,3,1.37,17.2,True,True
330185,John T Mather Memorial Hospital  Of Port Jefferson,Port Jefferson,Downstate suburbs,3485,18182.51,0.9515,4,0.93,9.4,True,True
330057,St Peter's Hospital,Albany,Upstate,4645,17784.21,1.0664,3,1.2,15.1,True,True
330079,Adirondack Medical Center - Saranac Lake,Saranac Lake,Upstate,312,17747.86,0.8923,5,1.28,14.5,True,False
330304,White Plains Hospital Center,White Plains,Downstate suburbs,6453,17379.06,0.971,3,0.77,9.9,True,True
330033,Chenango Memorial Hospital,Norwich,Upstate,128,17138.68,0.9794,4,1.16,16.7,False,False
330141,Long Island Community Hospital,Patchogue,Downstate suburbs,2996,16788.59,0.9513,2,0.87,12.7,True,True
330279,Mercy Hospital Of Buffalo,Buffalo,Upstate,2029,16675.76,1.0437,3,1.05,15.5,True,True
330078,Sisters Of Charity Hospital,Buffalo,Upstate,441,16665.85,1.0353,3,1.71,11.6,True,False
330157,Samaritan Medical Center,Watertown,Upstate,807,16429.99,1.0179,3,0.94,16.3,True,True
330126,Garnet Health Medical Center,Middletown,Downstate suburbs,5742,16412.86,1.0268,3,0.81,11.3,True,True
330090,Arnot Ogden Medical Center,Elmira,Upstate,803,16056.66,0.9923,2,2.28,16.7,True,True
330250,The University Of Vermont Health Network  - Champl,Plattsburgh,Upstate,1812,15967.09,1.0048,3,2.02,14.6,True,True
330261,Phelps Hospital,Sleepy Hollow,Downstate suburbs,1551,15910.61,0.9317,3,1.08,16.6,True,True
330151,St James Hospital,Hornell,Upstate,129,15908.67,1.0312,4,0.97,12.5,True,False
330181,Glen Cove Hospital,Glen Cove,Downstate suburbs,1284,15691.2,0.9397,4,0.85,11.8,True,True
330049,Northern Dutchess Hospital,Rhinebeck,Upstate,974,15649.36,0.9815,4,0.82,12.2,True,True
330158,Good Samaritan Hospital Of Suffern,Suffern,Downstate suburbs,3083,15600.05,1.0314,2,0.88,16.0,True,True
330115,Oneida Health,Oneida,Upstate,287,15565.6,1.0551,4,0.93,19.0,True,False
330164,Highland Hospital,Rochester,Upstate,1723,15550.47,1.0322,3,0.97,9.6,True,True
